index,video_id,winner,winner_swapped,rouge_l_f1_A,rouge_l_f1_B
14,e3p9-hYxwSQ,A,B,0.2548076923076923,0.3299369238233867
19,PFBI-ZfV5rs,A,A,0.1779100529100529,0.1959436232382262
17,3JsgtpX_rpU,A,B,0.08398228737211788,0.08631772268135904
15,jGn95KDWZMU,A,B,0.3002855977152183,0.3947583947583948
12,VKLLyv9cJSQ,B,A,0.06016911437472185,0.047527997814804705
4,4RAvJt3fWoI,B,A,0.08610175662146173,0.06318164723580293
28,tFHeUSJAYbE,B,A,0.17555025192256696,0.17362995116657626
9,Y7pNmocrmi8,B,A,0.14744673655732163,0.1314795743220048
5,fpL5fMmJHqk,A,B,0.24287222808870115,0.24559530165509877
24,MX7ymkYGiZ0,A,A,0.1933609958506224,0.18358714043993232
2,_Wjn0gm4g20,A,A,0.18702290076335878,0.17633543940264215
18,3PIqhdRzhxE,A,A,0.13561076604554867,0.1196883852691218
10,0cf7vzM_dZ0,B,B,0.12990680598700932,0.11276996666183504
3,pNg2DJ4spXg,B,B,0.10097822656989586,0.10737129076229422
6,bAe4qwQGxlI,A,B,0.31266441187523486,0.3129829984544049
13,czvVibB2lRA,A,A,0.14084507042253522,0.1303964757709251
26,ZLbVdvOoTKM,B,A,0.11774415405777165,0.11902465904394546
11,jan07gloaRg,A,A,0.12473368196784816,0.13096646942800788
30,tufdEUSjmNI,A,A,0.16662244627222075,0.18519515477792733
23,tMiQIxSX64c,A,A,0.320704845814978,0.3283858998144713
20,rPUytg38b6Q,A,A,0.15737051792828685,0.12554112554112554
22,XpoKB3usmKc,A,A,0.0993309315491508,0.09437908496732025
27,GgLaP4Des1Q,B,A,0.1775636613902271,0.202231520223152
25,eC6Hd1hFvos,B,A,0.1502403846153846,0.12523248605083698
1,wJ794jLP2Tw,A,A,0.0952959028831563,0.08818069306930693
7,WqASiuM4a-A,B,B,0.22312556458897922,0.26809130645944634
16,sxvyBxLVvKs,A,B,0.23356732610082964,0.20631720430107528
8,Ylz779Op9Pw,B,A,0.1465791145943656,0.15801736920144036
21,xm9devSQEqU,A,B,0.21866325005338458,0.15267175572519084
29,mj86XmfOniY,B,B,0.23673827268741784,0.2634194831013916
